dictionary,nb_of_vertices,nb_of_words_in_kernel,nb_of_words_in_core,nb_of_words_in_satelites,nb_of_words_in_rest,nb_of_words_mfvs,nb_of_undefined,nb_of_undefining,size_biggest_satelite
CIDE,43820,5585,4155,1430,38235,956,79,37754,7
LDOCE,71138,6457,5125,1332,64681,0,73,64294,5
MWC,225433,31694,30882,812,193739,0,365,190748,4
WCDT,18778,4855,4025,830,13923,902,14,13885,6
WEDT,67792,13685,12804,881,54107,0,82,53795,5
WILD,3782,1779,1697,82,2003,379,0,2002,3
WLDT,5917,1716,1416,300,4201,359,9,4188,7
WN,149699,13554,10996,2558,136145,0,169,135085,9
