dictionary,nb_of_vertices,nb_of_words_in_kernel,nb_of_words_in_core,nb_of_words_in_satelites,nb_of_words_in_rest,nb_of_words_mfvs,nb_of_undefined,nb_of_undefining,size_biggest_satelite
CIDE,43820,4882,3972,910,38938,0,64,38481,8
LDOCE,71138,5071,4040,1031,66067,0,53,65706,5
MWC,225433,26395,25570,825,199038,0,343,196084,5
WCDT,18778,4631,3946,685,14147,800,15,14111,6
WEDT,67792,12186,11341,845,55606,0,71,55304,5
WILD,3782,1828,1719,109,1954,362,0,1953,4
WLDT,5917,1612,1403,209,4305,330,6,4292,5
WN,149699,13435,11643,1792,136264,0,115,135277,7
