dictionary,nb_of_vertices,nb_of_words_in_kernel,nb_of_words_in_core,nb_of_words_in_satelites,nb_of_words_in_rest,nb_of_words_mfvs,nb_of_undefined,nb_of_undefining,size_biggest_satelite
CIDE,43820,4197,2945,1252,39623,761,75,39166,7
LDOCE,71138,4951,3644,1307,66187,1015,52,65819,5
MWC,225433,27855,27073,782,197578,2916,297,194613,5
WCDT,18778,4545,3674,871,14233,878,15,14196,17
WEDT,67792,12327,11387,940,55465,1408,69,55160,5
WILD,3782,1744,1664,80,2038,364,0,2037,4
WLDT,5917,1628,1314,314,4289,338,7,4276,7
WN,149699,12406,9789,2617,137293,1359,114,136326,19
